file_name,intervention,cycle,F_preload_start_N,M_peak_Nm,F_peak_N,F_eng_N,th_ramp@2.0,th_eng@2.0,th_ramp@3.0,th_eng@3.0,th_ramp@4.0,th_eng@4.0,th_ramp@5.0,th_eng@5.0
6 - Posterior Release,Posterior Release,6,4.342614586666658,5.763741392453335,41.465765413333344,12.0,0.32791662416285566,0.027271907014887416,1.1357995953697555,0.8351548782217872,3.1358170453069403,2.835172328158972,3.3831322500139502,3.082487532865982
6 - Posterior Release,Posterior Release,7,2.500339392333485,6.698286765055625,48.18911341766636,12.0,-0.4922821454757395,0.07360099521276639,-0.30654014952874903,0.25934299115975684,0.41694510910698224,0.9828282497954881,2.763905607175317,3.329788747863823
6 - Posterior Release,Posterior Release,8,17.239908864332296,1.3210177042492317,9.503724491001666,5.702234694601,,,,,,,,
6 - Posterior Release,Posterior Release,9,8.83497295333342,12.868007200337297,92.57559136933307,12.0,0.6399595320711549,0.5533312197889433,0.7007705294696115,0.6141422171873999,1.0918535661612905,1.0052252538790787,1.8438654770066079,1.757237164724396
6 - Posterior Release,Posterior Release,10,3.1920055120005775,14.133038373339947,101.67653505999962,12.0,0.7241567080473379,0.7163622854055764,0.598006094810329,0.5902116721685676,0.9623656758109735,0.9545712531692121,1.6436980488159671,1.6359036261742057
6 - Posterior Release,Posterior Release,11,3.0810492493340114,13.993197630542484,100.67048655066536,12.0,0.39080268985547917,-0.11163538241643012,-0.022220771266465305,-0.5246588435383746,-0.04809801527805228,-0.5505360875499615,0.004569541593419721,-0.4978685306784896
6 - Posterior Release,Posterior Release,12,2.8729787066675683,15.758820350641942,113.37280827799958,12.0,0.7604645477414338,-0.06281486702758149,0.5218325940105596,-0.3014468207584555,0.44708825063748436,-0.3761911641315308,0.7388026263703329,-0.08447678839868228
7 - SPO,SPO,1,4.1053925299997545,13.981518608821675,100.58646481166673,12.0,1.832240038890357,0.1913802025023828,2.191468711873556,0.5506088754855818,2.5202820894206153,0.8794222530326409,3.1722326358297703,1.531372799441796
7 - SPO,SPO,2,4.224799976666689,14.8818442926487,107.0636280046669,12.0,1.9907486906163832,0.07825442090275467,2.251395853443884,0.3389015837302557,2.5692194456394812,0.6567251759258529,2.9371342924909176,1.0246400227772894
7 - SPO,SPO,3,5.522545725999264,13.427133977537377,96.59808616933364,12.0,1.6272437044370078,0.10241886964629167,2.3646238721085786,0.8397990373178622,2.699739492871563,1.1749146580808463,2.9705170007031,1.4456921659123838
7 - SPO,SPO,4,6.364919966666757,5.119394367070668,36.830175302666674,12.0,0.6113886649647325,0.06736976896500621,2.36560235047305,1.821583454473324,3.629560426833878,3.085541530834152,3.9507361342774225,3.4067172382776962
