file_name,intervention,cycle,t_start_s,t_peak_s,lag_s,theta0_deg,F_preload_start_N,theta_ref_deg,theta_ref_window_n,theta_ref_mode,F_peak_raw_N,M_peak_raw_Nm,F_peak_dyn_N,M_peak_dyn_Nm,M_low_Nm,M_high_Nm,theta_low_deg,theta_high_deg,dtheta_secant_deg,k_sec_Nm_per_deg,secant_reason,valid_secant,gate_band_n,gate_n_up_m,gate_n_opposite,gate_opposite_ratio,gate_corr_theta_m,gate_radius_std_mm,gate_z_std_mm,pass_geometry_gate,pass_monotonicity_gate,pass_auto_exclusion,auto_exclusion_reason,k_sec_auto_Nm_per_deg
5 - FBF,FBF,5,195.18636299999997,201.11978499999998,12.049999999999988,-0.5441453798981915,2.866460477002332,-0.006038111413203651,5,force_zero_band,37.74114769999966,4.976925147198956,34.87468722299732,4.598925004096658,1.0,4.0,0.5249815571681488,2.7960254158846913,2.2710438587165425,1.3209784515986494,ok,True,121,83,12,0.14457831325301204,0.970781567361207,0.032220425019258876,0.6107365024677671,True,True,True,ok,1.3209784515986494
5 - FBF,FBF,6,239.68719499999997,243.22048399999997,12.049999999999988,-0.5441453798981915,3.1519291050010327,0.17499734035635972,4,force_zero_band,38.39860152000036,5.063623582442448,35.24667241499933,4.647978691365962,1.0,4.0,0.2651584033169022,2.437902772829957,2.172744369513055,1.3807422732718186,ok,True,59,46,5,0.10869565217391304,0.9789660893144347,0.05278276222251335,0.33794355158090617,True,True,True,ok,1.3807422732718186
5 - FBF,FBF,7,287.021297,288.054597,12.049999999999988,-0.5441453798981915,1.9719901729986027,0.17270386624608786,3,force_zero_band,18.10650233999992,2.3877044635757896,16.13451216700132,2.127658119462464,1.0,4.0,,,,,mhigh_not_reached_on_final_climb,False,14,12,7,0.5833333333333334,-0.2094837737031899,0.13364897041529705,0.5807275083624555,True,False,False,monotonicity_gate,
5 - FBF,FBF,8,287.021297,291.788032,12.049999999999988,-0.5441453798981915,1.9719901729986027,0.17270386624608786,3,force_zero_band,63.29927107199968,8.347274876264597,61.327280899001074,8.087228532151272,1.0,4.0,0.1246129106996526,1.2891030247553397,1.1644901140556871,2.576234837710728,ok,True,41,31,9,0.2903225806451613,0.5165595645274829,0.20707175116903018,0.8004657538777978,False,True,False,geometry_gate,
5 - FBF,FBF,9,319.588439,322.821775,12.049999999999988,-0.5441453798981915,4.246947240999074,0.5532292836270407,10,preramp_median_fallback,69.40233172499957,9.152085484575693,65.15538448400049,8.592040551905146,1.0,4.0,1.31100570755354,2.690769650434401,1.379763942880861,2.1742849677142506,ok,True,27,22,0,0.0,0.9884958864883863,0.0266840456429493,0.3069236033674426,True,True,True,ok,2.1742849677142506
5 - FBF,FBF,10,350.822252,354.98902400000003,12.049999999999988,-0.5441453798981915,4.238830852000022,-0.15908632277399115,10,preramp_median_fallback,76.09579271999974,10.034752185986367,71.85696186799971,9.475777561533123,1.0,4.0,-0.15671152795116336,1.4375033655989133,1.5942148935500766,1.881804022868869,ok,True,21,17,0,0.0,0.975390807411867,0.1051902994448897,0.8362499356659243,True,True,True,ok,1.881804022868869
6 - Posterior Release,Posterior Release,1,28.350098666666653,38.416920666666655,10.816666666666654,-0.23068320686942764,3.3050800000000002,-0.4369117354813268,3,force_zero_band,75.13207186600015,9.90766631696944,71.82699186600014,9.47182541736944,1.0,4.0,1.0853841789916991,2.8219358135940364,1.7365516346023373,1.7275616458631746,ok,True,34,31,0,0.0,0.9573599111899812,0.040103047496334907,0.11827449332483876,True,True,True,ok,1.7275616458631746
6 - Posterior Release,Posterior Release,2,60.850655666666654,65.75070266666665,10.816666666666654,-0.23068320686942764,2.84237,-0.06102588749046725,3,force_zero_band,74.40248153733383,9.811455240328213,71.56011153733382,9.436631908428211,1.0,4.0,0.7560745964001783,2.4665671894112298,1.7104925930110515,1.7538807313505957,ok,True,21,20,0,0.0,0.995675320731203,0.0321366721031363,0.38502633617045506,True,True,True,ok,1.7538807313505957
6 - Posterior Release,Posterior Release,3,97.51785766666664,101.91796666666664,10.816666666666654,-0.23068320686942764,1.2276083533330477,-0.5301146877471479,4,force_zero_band,80.49935133333396,10.61544946032675,79.27174298000091,10.45356474677272,1.0,4.0,0.060492015371937824,1.477764158478506,1.417272143106568,2.116742373433091,ok,True,20,18,0,0.0,0.9804752886166965,0.021605957294220778,0.083105757813785,True,True,True,ok,2.116742373433091
6 - Posterior Release,Posterior Release,4,135.08510266666664,139.28529666666665,10.816666666666654,-0.23068320686942764,9.057277253332915,0.23555702024599356,10,preramp_median_fallback,49.156310129999675,6.482242616843058,40.09903287666676,5.287859465446045,1.0,4.0,0.8106024562121421,1.9909433777154115,1.1803409215032694,2.5416385599672613,ok,True,50,38,0,0.0,0.851989587766116,0.08025954911164378,0.6644148421696253,True,True,True,ok,2.5416385599672613
6 - Posterior Release,Posterior Release,6,163.71898666666667,167.95238466666666,10.816666666666654,-0.23068320686942764,4.342614586666658,0.038183924446851925,10,preramp_median_fallback,45.80838,6.040751070600001,41.465765413333344,5.468090485056268,1.0,4.0,0.23111153049864389,3.1900909209244124,2.9589793904257684,1.013863094047549,ok,True,65,47,1,0.02127659574468085,0.927301466379338,0.03108392084280329,0.4788602251573339,True,True,True,ok,1.013863094047549
6 - Posterior Release,Posterior Release,7,190.65282566666667,194.71947366666666,10.816666666666654,-0.23068320686942764,2.500339392333485,0.5901901462087698,3,force_zero_band,50.68945280999985,6.68441814205468,48.18911341766636,6.354698386387663,1.0,4.0,-0.8038299214532543,0.5938877261192578,1.3977176475725122,2.1463562438452812,ok,True,34,31,0,0.0,0.9431712837629733,0.06356023126279157,0.36211773908388645,True,True,True,ok,2.1463562438452812
6 - Posterior Release,Posterior Release,8,215.51972766666665,216.38654866666667,10.816666666666654,-0.23068320686942764,17.239908864332296,2.190940057555634,3,force_zero_band,26.743633355333962,3.52668293056789,9.503724491001666,1.2532561486283897,1.0,4.0,,,,,mhigh_not_reached_on_final_climb,False,10,4,4,1.0,-0.5328425536267879,0.00754058321766425,0.08581112198259275,True,False,False,monotonicity_gate,
6 - Posterior Release,Posterior Release,9,231.85342466666665,236.78680266666666,10.816666666666654,-0.23068320686942764,8.83497295333342,-0.14394150117746735,10,preramp_median_fallback,101.41056432266649,13.37301111723003,92.57559136933307,12.207943233873952,1.0,4.0,-0.019041718970017767,1.5627698999378543,1.5818116189078721,1.8965595928997447,ok,True,35,28,1,0.03571428571428571,0.8342275929734595,0.053864780891643614,0.5653150017475698,True,True,True,ok,1.8965595928997447
6 - Posterior Release,Posterior Release,10,264.3205786666667,269.2206546666667,10.816666666666654,-0.23068320686942764,3.1920055120005775,-0.16330300231384223,3,force_zero_band,104.8685405720002,13.829014445229665,101.67653505999962,13.408084678362151,1.0,4.0,0.11921794835039848,1.0064615115730478,0.8872435632226493,3.3812586806529077,ok,True,40,22,10,0.45454545454545453,-0.017838544991610868,0.19559681376117735,1.343174800426736,False,False,False,geometry_gate+monotonicity_gate,
6 - Posterior Release,Posterior Release,11,305.55463066666664,314.8214066666667,10.816666666666654,-0.23068320686942764,3.0810492493340114,0.56994279897838,3,force_zero_band,103.75153579999937,13.681715025945918,100.67048655066536,13.275417061436242,1.0,4.0,0.6143752352194038,-0.14418216700751615,-0.75855740222692,,dtheta_too_small,False,19,16,11,0.6875,0.15444644343136973,0.29367141398845853,2.0656410157424285,False,False,False,geometry_gate+monotonicity_gate,
6 - Posterior Release,Posterior Release,12,346.3886576666667,351.92200866666667,10.816666666666654,-0.23068320686942764,2.8729787066675683,0.5946299436282139,10,preramp_median_fallback,116.24578698466715,15.329331929668056,113.37280827799958,14.950472227619805,1.0,4.0,-0.09481955811201309,-0.05085993774997608,0.04395962036203701,,dtheta_too_small,False,15,14,10,0.7142857142857143,-0.8228380025610672,0.22702999227319687,1.9649823028240019,False,False,False,geometry_gate+monotonicity_gate,
7 - SPO,SPO,1,31.76702433333332,34.967008333333325,10.73333333333332,-0.37513050973260986,4.1053925299997545,-0.08875196559669707,5,force_zero_band,104.69185734166648,13.805715227645559,100.58646481166673,13.264337114714492,1.0,4.0,0.6004553652738428,2.6626846949239216,2.0622293296500787,1.4547363655762977,ok,True,27,24,0,0.0,0.9138594345159368,0.02397294539585043,0.08440286611425253,True,True,True,ok,1.4547363655762977
