file_name,intervention,cycle,s,e,i0_force,i0,pk,t_start_s,t_peak_s,rise_s,F_start_raw_N,F_peak_raw_N,F_peak_dyn_N,F_start_id_N,F_peak_id_N,theta_force_start_deg,theta_start_deg,theta_peak_deg,dtheta_deg,theta_force_start_raw_deg,theta_start_raw_deg,theta_preramp_med_deg,theta_preramp_open_frac,non_neutral_force_start_flag,non_neutral_preramp_window_flag,non_neutral_start_window_flag,run_samples,transition_flag_raw,transition_flag
5 - FBF,FBF,7,7361,8009,7303,7331,7447,287.921218,291.788032,3.8668139999999767,17.457171255999732,63.29927107199968,45.842099815999944,16.519678930401582,62.44329836069913,-0.38883863160512244,0.0027918225295723025,1.9944180765773452,1.991626254047773,-0.37082666724521995,0.2010295736057463,-0.5388537468570058,0.0,False,False,False,648,False,False
5 - FBF,FBF,8,8219,8907,8198,8175,8299,318.72179,322.855112,4.133322000000021,6.01525,67.94647232799991,61.93122232799991,6.468035960552376,68.28041675736623,0.3376977431352954,0.0013758002491067916,3.848881332011559,3.8475055317624522,0.0008079228691518003,-0.048253750747342575,0.1326059711479142,0.0,False,False,False,688,False,False
5 - FBF,FBF,9,9124,9871,9079,9072,9200,350.588944,354.922399,4.333454999999958,5.928199520000999,75.49582086799748,69.56762134799648,5.133817564629526,74.88170713679244,-0.3563037254538176,-0.004360837569088087,2.183362404497691,2.187723242066779,-0.8475631570887268,-0.05447326332919218,-0.6318586209906805,0.0,False,False,False,747,False,False
6 - Posterior Release,Posterior Release,1,323,986,263,298,564,29.483443666666652,38.35026066666666,8.866817000000005,7.979906626999522,74.76601928066643,66.7861126536669,8.631141681478034,74.75095618267562,-0.7238404141991602,0.0026284783596161043,3.6269770576647913,3.6243485793051753,-0.6903865916327494,0.04521627280125516,-0.5870476348216844,0.0,False,False,False,663,False,False
6 - Posterior Release,Posterior Release,2,1256,1991,1200,1236,1327,62.75063966666666,65.78405366666665,3.0334139999999934,6.326161442666009,73.89976226300062,67.57360082033462,6.791927774294816,73.88615963654125,-0.23591543335717563,-0.01012013182089766,4.273938104013615,4.284058235834513,-0.30846800418909387,-0.11212744935795176,0.16021738436810012,0.0,False,False,False,735,False,False
6 - Posterior Release,Posterior Release,3,2273,2964,2220,2175,2350,95.45125066666665,101.98457966666665,6.533328999999995,6.34575,79.84511777299974,73.49936777299975,6.412736137470608,79.79439293784787,-0.6835982792581988,-0.13650371791894217,3.2306501632920503,3.3671538812109927,-0.7731623332011899,0.2491906744817594,-0.5782820233386641,0.0,False,False,False,691,False,False
6 - Posterior Release,Posterior Release,4,3353,3923,3293,3320,3419,135.98551466666666,139.28529666666665,3.2997819999999933,16.16523194666662,49.156310129999675,32.99107818333306,15.842438576251688,48.69955295338449,-0.15081801129392464,-0.015430788023207416,3.7151878846651343,3.7306186726883417,-0.06706374822011715,0.00766558749687612,-0.15922594642915983,0.0,False,False,False,570,False,False
6 - Posterior Release,Posterior Release,5,4149,4696,4091,4117,4238,163.95231866666666,167.98567266666666,4.033354000000003,7.09873063866652,44.87406167400011,37.77533103533359,7.120441963731722,44.5040941329157,-0.5050784168857428,-0.015756986421566373,3.3323833048083635,3.34814029122993,-0.47080903306966987,-0.17411394541767738,-0.4734691272479327,0.0,False,False,False,547,False,False
6 - Posterior Release,Posterior Release,6,4917,5598,4859,4853,4982,190.38614966666665,194.68618166666667,4.300032000000016,3.8391994770001365,50.58331163333336,46.74411215633322,3.441536344451163,49.65824072152228,0.12956964345366412,0.003444845957217325,3.165952264264545,3.1625074183073276,0.23574887981969678,0.001115953880386527,-0.3431286663983344,0.0,False,False,False,681,False,False
6 - Posterior Release,Posterior Release,7,6031,6669,5984,6025,6136,233.12010566666666,236.82006466666667,3.699959000000007,20.22708,100.93664255333327,80.70956255333327,19.921461559387218,100.12207744278123,-0.24591148579767655,-0.018617097521678855,4.280526225571536,4.299143323093214,-0.2818712435092215,-0.22636402595211033,-0.33016919256197963,0.0,False,False,False,638,False,False
6 - Posterior Release,Posterior Release,8,6964,7657,6904,6890,7053,263.82058666666666,269.2541136666667,5.433527000000026,6.151327866666649,103.69034439599827,97.53901652933162,5.234227208418457,102.88599945133787,0.2756976007305295,-0.011472460277336494,5.199827409603088,5.211299869880425,-0.3130185808111979,-0.641537255734328,-0.2710934232692416,0.0,False,False,False,693,False,False
6 - Posterior Release,Posterior Release,9,7971,8465,7941,7945,8020,305.6211886666667,316.02139866666664,10.400209999999959,3.421574637999832,92.32537822800008,88.90380359000025,5.077118358563785,92.95055795767551,-0.16522972809627612,-0.0013534303489608525,3.2539010826568093,3.25525451300577,-0.1478342129859082,0.4117755564622486,-0.02440743013858901,0.0,False,False,False,494,False,False
6 - Posterior Release,Posterior Release,10,8779,9325,8724,8691,8888,345.08863766666667,351.9888056666667,6.900168000000008,16.588426525665387,113.90875908666663,97.32033256100125,16.379673234331637,113.61905222065354,0.26030253973939144,0.023651607755484274,3.5570435671307665,3.5333919593752823,0.1407036077225017,0.0014436335958981806,0.8016167124034395,0.10869565217391304,False,False,False,546,False,False
7 - SPO,SPO,1,530,1133,470,510,618,32.66709033333332,36.26707633333332,3.5999860000000012,11.094235503666308,102.73805445633279,91.64381895266648,10.947000041264307,102.20408669408654,-0.6139658425059983,0.011927950589433687,5.5641717483892785,5.552243797799845,-0.520414246889747,-0.06408722482924192,-0.5367954654607949,0.0,False,False,False,603,False,False
7 - SPO,SPO,2,1358,2065,1298,1274,1433,64.30085733333331,69.60090233333332,5.300045000000011,4.32304032933422,110.91839999999999,106.59535967066577,3.8320900311967616,110.56461294851559,-0.32336569993476083,-0.027398627258351065,5.932326534251279,5.95972516150963,-0.2526702900523247,-0.12237091366700062,-0.13573823608238733,0.0,False,False,False,707,False,False
7 - SPO,SPO,3,2385,3180,2325,2339,2432,102.06810633333332,105.16817533333332,3.100069000000005,10.233222863333271,102.1206318953329,91.88740903199964,10.247976385574411,99.56303040730006,-0.2190414813480272,0.012733166108370875,5.766311687860358,5.7535785217519875,-0.09010172125868651,0.11035919262972896,-0.3341110773261118,0.0,False,False,False,795,False,False
7 - SPO,SPO,4,4027,4580,3970,3925,4089,155.2356913333333,160.7024473333333,5.466756000000004,6.563400860000541,42.42241318600053,35.85901232599999,6.630747980336101,42.17342923617494,5.0026428007815404,3.048016475237135,8.800218547408434,5.752202072171299,4.980475724556117,3.16521495433303,4.968947359595923,1.0,True,True,True,553,False,False
7 - SPO,SPO,5,5536,5685,5476,5460,5560,206.4032213333333,209.7365443333333,3.333323000000007,6.631453013333135,28.838266760999257,22.20681374766612,6.5471499688325885,28.054943265885147,3.7270956183400883,-0.002628835345445322,8.003677702112377,8.006306537457823,3.935569899695352,0.06157828558850007,-0.4989227722431551,0.13043478260869565,True,False,True,149,False,False
7 - SPO,SPO,6,6219,6930,6174,6215,6304,237.6036753333333,240.5703903333333,2.9667149999999936,16.915218140000416,86.80682101033254,69.89160287033212,17.957940585105565,86.59669857189287,-0.8347330980063625,0.003677263891528654,4.445102308290926,4.441425044399397,-1.2874852175381677,-0.21288382415045595,-0.4021996749739678,0.0,False,False,False,711,False,False
7 - SPO,SPO,7,7251,7950,7191,7146,7341,270.67091033333327,277.2376413333333,6.566731000000004,2.84237,96.92046078666715,94.07809078666715,2.5111868929366983,96.59734985707497,-0.47375932725330117,-0.1004186585145866,4.575112354394535,4.675531012909121,-0.4475361724353668,-0.6925468806265246,-0.38569400098279777,0.0,False,False,False,699,False,False
7 - SPO,SPO,8,8238,8834,8203,8228,8300,306.9048823333334,309.30487833333336,2.3999959999999874,14.977449554331397,94.39623198833272,79.41878243400132,15.128950179848404,93.35258945724082,-0.1339242705315138,0.02075963673470744,4.515878065482145,4.495118428747437,-0.14059610760167426,0.04616496660322403,-0.24584497987659049,0.0,False,False,False,596,False,False
