theta_deg_zhang_sign,moment_mts_centered_nm_zhang_sign,moment_mts_refit_cubic_nm,moment_paper_f0_nm,moment_paper_f500_nm,moment_diff_mts_minus_paper_f0_nm,moment_diff_mts_minus_paper_f500_nm
-7.806397954672336,-4.8195911823647295,-4.749674484942679,-23.4490035689456,-37.11019998962219,18.62941238658087,32.290608807257456
-7.782369939316524,-4.788406813627254,-4.715695933798513,-23.29206409754831,-36.911211491352226,18.503657283921054,32.12280467772497
-7.758406296105134,-4.75722244488978,-4.681972741217573,-23.13626179197021,-36.713472810154194,18.37903934708043,31.956250365264413
-7.734654083408621,-4.726038076152304,-4.648708617427346,-22.982538656514443,-36.51818330247953,18.25650058036214,31.792145226327225
-7.711222672182245,-4.69485370741483,-4.6160509365653075,-22.83157727267253,-36.32621694899146,18.1367235652577,31.63136324157663
-7.687709261546237,-4.663669338677354,-4.5834354963255945,-22.68077034064393,-36.13426154834985,18.017101001966576,31.470592209672493
-7.6643026411396935,-4.63248496993988,-4.551123527436519,-22.53132592146348,-35.94385554345794,17.8988409515236,31.31137057351806
-7.642941783777532,-4.6013006012024045,-4.521770588860712,-22.395531675620603,-35.77067979723128,17.7942310744182,31.169379196028878
-7.621329832257544,-4.570116232464929,-4.4922033413162055,-22.258711456863594,-35.596038663314296,17.688595224398664,31.025922430849366
-7.599199755628048,-4.538931863727455,-4.4620631900512695,-22.11920412436396,-35.417803696713044,17.580272260636505,30.87887183298559
-7.577125066252684,-4.507747494989979,-4.432135183854766,-21.980642333751426,-35.240611199693625,17.472894838761448,30.732863704703647
-7.549426954293422,-4.476563126252505,-4.394775800085929,-21.80762297707242,-35.01912014708591,17.331059850819916,30.542557020833403
-7.522097794936434,-4.445378757515029,-4.358123613801183,-21.637822522136435,-34.801493663275195,17.192443764621405,30.356114905760165
-7.495137588181716,-4.414194388777555,-4.322169586053753,-21.471201563254976,-34.58769234257298,17.05700717447742,30.173497953795422
-7.4683992756588164,-4.3830100200400794,-4.286710358988206,-21.306819676834877,-34.376518409237804,16.9238096567948,29.993508389197725
-7.4417734864124725,-4.3518256513026055,-4.251596589616327,-21.143985738744156,-34.16708933996598,16.79216008744155,29.81526368866338
-7.415426997378578,-4.32064128256513,-4.217043343474723,-20.983698441655303,-33.96069568706781,16.663057159090172,29.64005440450268
-7.390416036286357,-4.289456913827656,-4.184418006959662,-20.83230582892917,-33.7655338924303,16.542848915101512,29.47607697860264
-7.366740603135812,-4.25827254509018,-4.153692622195049,-20.689685932063647,-33.581481987551314,16.431413386973468,29.323209442461135
-7.344400697926943,-4.227088176352706,-4.124840841338785,-20.55572380109591,-33.40842502246806,16.328635624743203,29.181336846115354
-7.3197460586065635,-4.19590380761523,-4.093157419914391,-20.408569939349775,-33.21812554191126,16.212666131734544,29.022221734296032
-7.291832550575192,-4.164719438877754,-4.057485371300578,-20.242834927675325,-33.00354189118191,16.07811548879757,28.838822452304157
-7.268091950393623,-4.13353507014028,-4.027312180554805,-20.102601163218132,-32.82176207640697,15.969066093077853,28.68822700626669
-7.24253188287569,-4.102350701402805,-3.994996713416433,-19.952362642135057,-32.626793437167514,15.850011940732252,28.52444273576471
-7.215496138997933,-4.071166332665331,-3.9610070430387627,-19.79428599351932,-32.4214042367657,15.723119660853989,28.35023790410037
-7.1876377102294935,-4.039981963927855,-3.926188395183022,-19.632295205190164,-32.21066119809178,15.59231324126231,28.170679234163924
-7.158956596570368,-4.008797595190381,-3.890558544050015,-19.466467883042924,-31.994641927041066,15.457670287852544,27.985844331850686
-7.12948019076458,-3.977613226452905,-3.8541693964679,-19.297040467718393,-31.773630801556408,15.319427241265487,27.7960175751035
-7.099297979281081,-3.946428857715431,-3.817148307148605,-19.12460104187055,-31.54837250561244,15.17817218415512,27.60194364789701
